Year,OutsetYear,OutsetMoon,OutsetDay,Moons,Days
1643,1643-03-20 20:57:47.034,1643-04-18 10:40:37.911,1643-04-19 06:00:30.758,12,354
1644,1644-03-20 02:52:08.554,1644-04-07 03:08:32.199,1644-04-07 06:12:57.438,12,355
1645,1645-03-20 08:40:51.818,1645-03-27 19:23:33.210,1645-03-28 05:25:29.519,13,384
1646,1646-03-20 14:29:24.080,1646-04-15 19:58:52.617,1646-04-16 06:03:25.450,12,354
1647,1647-03-20 20:22:53.231,1647-04-05 05:13:16.823,1647-04-05 06:16:15.718,12,354
1648,1648-03-20 02:10:01.697,1648-03-24 04:16:27.548,1648-03-24 05:30:17.476,13,384
1649,1649-03-20 07:54:01.006,1649-04-11 22:13:36.379,1649-04-12 06:07:33.576,12,354
1650,1650-03-20 13:43:38.427,1650-03-31 21:33:06.035,1650-04-01 05:20:52.258,12,355
1651,1651-03-20 19:31:34.871,1651-03-21 07:22:36.470,1651-03-22 05:33:51.451,13,384
1652,1652-03-20 01:14:35.563,1652-04-08 11:42:23.912,1652-04-09 06:10:43.110,12,355
1653,1653-03-20 06:58:29.157,1653-03-29 05:33:49.757,1653-03-30 05:23:04.803,13,384
1654,1654-03-20 12:47:13.538,1654-04-17 10:17:01.511,1654-04-18 06:01:23.830,12,354
1655,1655-03-20 18:40:48.274,1655-04-07 02:22:07.237,1655-04-07 06:13:58.012,12,355
1656,1656-03-20 00:30:44.250,1656-03-26 09:18:19.202,1656-03-27 05:26:34.369,13,383
1657,1657-03-20 06:14:34.591,1657-04-14 02:50:15.931,1657-04-14 06:05:25.861,12,354
1658,1658-03-20 12:05:38.200,1658-04-02 23:17:52.717,1658-04-03 06:18:30.623,12,354
1659,1659-03-20 17:58:24.093,1659-03-23 01:12:17.955,1659-03-23 05:32:40.229,13,384
1660,1660-03-19 23:46:03.044,1660-04-09 21:35:22.247,1660-04-10 06:09:39.540,12,355
1661,1661-03-20 05:34:05.830,1661-03-30 10:56:20.297,1661-03-31 05:21:55.867,13,384
1662,1662-03-20 11:24:52.662,1662-04-18 11:23:21.971,1662-04-19 06:00:26.639,12,354
1663,1663-03-20 17:15:49.646,1663-04-08 04:36:05.850,1663-04-08 06:12:52.723,12,355
1664,1664-03-19 23:05:00.168,1664-03-27 16:04:46.406,1664-03-28 05:25:24.461,13,384
1665,1665-03-20 04:51:53.607,1665-04-15 12:49:13.783,1665-04-16 06:03:21.164,12,354
1666,1666-03-20 10:46:00.353,1666-04-04 11:25:57.023,1666-04-05 05:16:10.890,12,354
1667,1667-03-20 16:43:53.269,1667-03-24 09:01:57.731,1667-03-25 05:30:12.343,13,383
1668,1668-03-19 22:30:49.748,1668-04-11 06:04:37.656,1668-04-11 06:08:36.583,12,355
1669,1669-03-20 04:14:49.219,1669-03-31 15:25:16.019,1669-04-01 05:20:47.300,12,355
1670,1670-03-20 10:02:44.943,1670-03-21 08:42:41.042,1670-03-22 05:33:46.283,13,384
1671,1671-03-20 15:48:48.483,1671-04-09 14:40:26.365,1671-04-10 06:10:38.481,12,355
1672,1672-03-19 21:34:42.615,1672-03-29 07:49:26.918,1672-03-30 05:22:59.793,13,384
1673,1673-03-20 03:18:41.420,1673-04-17 09:47:06.839,1673-04-18 06:01:19.657,12,354
1674,1674-03-20 09:04:17.581,1674-04-06 17:25:01.810,1674-04-07 06:13:53.261,12,354
1675,1675-03-20 14:57:19.525,1675-03-26 15:10:44.536,1675-03-27 05:27:45.329,13,384
1676,1676-03-19 20:40:46.182,1676-04-13 07:02:14.367,1676-04-14 06:05:21.471,12,354
1677,1677-03-20 02:26:59.521,1677-04-02 08:44:50.793,1677-04-03 05:18:25.728,12,354
1678,1678-03-20 08:24:52.996,1678-03-22 20:09:54.423,1678-03-23 05:32:35.071,13,384
1679,1679-03-20 14:18:19.437,1679-04-10 20:02:48.750,1679-04-11 06:09:34.955,12,355
1680,1680-03-19 20:11:28.284,1680-03-30 12:34:46.236,1680-03-31 05:21:50.883,12,354
1681,1681-03-20 02:00:57.630,1681-03-20 03:36:35.034,1681-03-20 05:36:09.851,13,384
1682,1682-03-20 07:49:19.250,1682-04-08 00:53:25.734,1682-04-08 06:12:48.011,12,354
1683,1683-03-20 13:46:45.341,1683-03-28 03:03:55.618,1683-03-28 05:26:35.142,13,384
1684,1684-03-19 19:32:26.587,1684-04-14 19:36:46.491,1684-04-15 06:04:21.285,12,354
1685,1685-03-20 01:15:30.562,1685-04-03 16:25:06.184,1685-04-04 06:17:18.445,12,354
1686,1686-03-20 07:08:15.284,1686-03-23 22:23:59.802,1686-03-24 05:31:24.010,13,384
1687,1687-03-20 12:51:43.713,1687-04-12 00:27:25.968,1687-04-12 06:08:32.043,12,355
1688,1688-03-19 18:37:16.356,1688-03-31 16:59:50.631,1688-04-01 05:20:42.344,12,355
1689,1689-03-20 00:24:51.228,1689-03-21 11:58:37.770,1689-03-22 05:33:41.116,13,384
1690,1690-03-20 06:13:11.161,1690-04-09 16:40:35.769,1690-04-10 06:10:33.855,12,354
1691,1691-03-20 12:11:11.234,1691-03-30 03:14:14.186,1691-03-30 05:24:09.818,13,384
1692,1692-03-19 17:57:13.085,1692-04-17 00:12:33.442,1692-04-17 06:02:18.209,12,354
1693,1693-03-19 23:37:30.176,1693-04-05 22:57:40.598,1693-04-06 06:14:59.770,12,354
1694,1694-03-20 05:31:23.749,1694-03-25 21:13:33.353,1694-03-26 05:28:56.545,13,384
1695,1695-03-20 11:17:42.299,1695-04-13 17:04:12.287,1695-04-14 06:06:23.028,12,354
1696,1696-03-19 17:04:38.344,1696-04-02 04:11:46.270,1696-04-02 05:19:34.200,12,355
1697,1697-03-19 22:55:49.065,1697-03-22 21:13:12.623,1697-03-23 05:32:29.914,13,384
1698,1698-03-20 04:41:59.669,1698-04-10 21:44:46.795,1698-04-11 06:09:30.373,12,355
1699,1699-03-20 10:38:15.719,1699-03-31 11:36:41.066,1699-04-01 06:21:45.902,12,354
1700,1700-03-20 16:26:56.771,1700-03-20 18:52:32.627,1700-03-21 05:36:04.669,13,384
1701,1701-03-20 22:10:59.408,1701-04-08 11:21:10.667,1701-04-09 06:12:43.301,12,354
1702,1702-03-21 04:12:49.971,1702-03-28 07:16:03.356,1702-03-29 05:26:30.065,13,383
1703,1703-03-21 10:04:46.156,1703-04-16 00:51:34.930,1703-04-16 06:05:22.139,12,355
1704,1704-03-20 15:50:39.859,1704-04-04 07:20:51.199,1704-04-05 06:17:13.585,12,354
1705,1705-03-20 21:42:18.922,1705-03-24 21:14:09.369,1705-03-25 05:31:18.865,13,384
1706,1706-03-21 03:24:59.585,1706-04-13 02:13:55.296,1706-04-13 06:08:27.507,12,355
1707,1707-03-21 09:18:41.220,1707-04-02 20:09:45.790,1707-04-03 05:20:37.391,12,355
1708,1708-03-20 15:05:11.078,1708-03-22 10:47:58.880,1708-03-23 05:33:35.950,13,384
1709,1709-03-20 20:41:26.284,1709-04-10 11:31:30.275,1709-04-11 06:10:29.233,12,354
1710,1710-03-21 02:35:13.171,1710-03-30 12:02:42.316,1710-03-31 05:24:04.786,13,383
1711,1711-03-21 08:19:14.798,1711-04-18 05:26:42.280,1711-04-18 06:03:17.533,12,354
1712,1712-03-20 14:00:21.108,1712-04-06 05:25:08.314,1712-04-06 06:16:06.799,12,355
1713,1713-03-20 19:55:24.758,1713-03-26 13:02:43.917,1713-03-27 05:28:51.431,13,384
1714,1714-03-21 01:44:31.545,1714-04-14 13:01:42.803,1714-04-15 06:06:18.591,12,355
1715,1715-03-21 07:43:19.382,1715-04-04 06:25:38.586,1715-04-05 06:18:15.944,12,354
1716,1716-03-20 13:36:02.807,1716-03-23 22:14:08.475,1716-03-24 05:32:24.758,13,384
1717,1717-03-20 19:15:34.218,1717-04-11 20:30:22.651,1717-04-12 06:09:25.795,12,354
1718,1718-03-21 01:14:13.200,1718-04-01 02:21:28.231,1718-04-01 05:22:55.548,13,384
1719,1719-03-21 07:04:25.286,1719-04-19 18:36:59.968,1719-04-20 06:01:16.124,12,354
1720,1720-03-20 12:47:34.486,1720-04-07 15:31:11.582,1720-04-08 06:13:49.235,12,354
1721,1721-03-20 18:41:55.517,1721-03-27 16:38:24.086,1721-03-28 05:27:41.008,13,384
1722,1722-03-21 00:27:13.649,1722-04-15 15:20:37.449,1722-04-16 06:05:17.751,12,355
1723,1723-03-21 06:18:01.206,1723-04-05 05:32:03.725,1723-04-06 05:17:08.727,12,354
1724,1724-03-20 12:08:58.547,1724-03-25 00:09:18.114,1724-03-25 05:31:13.721,13,384
1725,1725-03-20 17:48:17.867,1725-04-13 05:14:45.676,1725-04-13 06:08:22.974,12,355
1726,1726-03-20 23:46:59.985,1726-04-02 18:33:04.941,1726-04-03 06:20:32.439,12,354
1727,1727-03-21 05:38:27.682,1727-03-22 23:44:02.234,1727-03-23 05:34:48.059,13,384
1728,1728-03-20 11:16:15.801,1728-04-09 19:48:02.221,1728-04-10 06:11:33.978,12,354
1729,1729-03-20 17:07:45.081,1729-03-29 16:31:09.759,1729-03-30 05:25:15.119,13,384
1730,1730-03-20 22:52:09.972,1730-04-17 12:21:50.012,1730-04-18 06:03:13.254,12,354
1731,1731-03-21 04:41:13.465,1731-04-06 21:49:11.013,1731-04-07 06:16:01.976,12,355
1732,1732-03-20 10:33:40.487,1732-03-26 13:01:16.429,1732-03-27 05:28:46.317,13,384
1733,1733-03-20 16:11:27.466,1733-04-14 14:26:44.354,1733-04-15 06:06:14.157,12,355
1734,1734-03-20 22:06:21.580,1734-04-04 06:17:22.693,1734-04-05 05:18:11.056,12,354
1735,1735-03-21 03:59:07.777,1735-03-24 17:08:47.347,1735-03-25 05:32:19.602,13,384
1736,1736-03-20 09:39:10.588,1736-04-11 10:44:07.030,1736-04-12 06:09:21.220,12,354
1737,1737-03-20 15:39:34.843,1737-03-31 07:53:42.534,1737-04-01 05:22:50.542,12,354
1738,1738-03-20 21:33:56.823,1738-03-20 06:29:04.293,1738-03-21 05:37:11.785,13,383
1739,1739-03-21 03:27:47.993,1739-04-08 01:24:48.391,1739-04-08 06:14:55.712,12,355
1740,1740-03-20 09:23:24.697,1740-03-27 12:08:58.644,1740-03-28 05:27:35.912,13,384
1741,1741-03-20 15:01:43.075,1741-04-15 14:51:20.774,1741-04-16 06:05:13.368,12,355
1742,1742-03-20 20:55:12.242,1742-04-05 09:28:21.559,1742-04-06 06:17:03.872,12,354
1743,1743-03-21 02:47:14.620,1743-03-26 00:50:56.952,1743-03-26 05:31:08.577,13,384
1744,1744-03-20 08:22:22.374,1744-04-13 03:08:55.050,1744-04-13 06:08:18.444,12,355
1745,1745-03-20 14:13:10.727,1745-04-02 06:52:58.876,1745-04-03 05:20:27.490,12,353
1746,1746-03-20 19:58:25.190,1746-03-22 04:18:53.680,1746-03-22 05:36:00.276,13,384
1747,1747-03-21 01:41:48.468,1747-04-10 00:27:16.999,1747-04-10 06:12:39.311,12,354
1748,1748-03-20 07:34:04.917,1748-03-29 04:57:09.717,1748-03-29 05:26:25.761,13,384
1749,1749-03-20 13:15:27.993,1749-04-17 05:21:47.730,1749-04-17 06:04:13.277,12,355
1750,1750-03-20 19:12:00.615,1750-04-06 22:05:33.646,1750-04-07 06:15:57.156,12,355
1751,1751-03-21 01:08:50.719,1751-03-27 15:12:02.729,1751-03-28 05:28:41.205,13,384
1752,1752-03-20 06:47:40.943,1752-04-14 15:09:14.775,1752-04-15 06:06:09.727,12,354
1753,1753-03-20 12:40:56.830,1753-04-04 00:44:52.138,1753-04-04 06:19:19.434,12,354
1754,1754-03-20 18:34:23.832,1754-03-24 02:05:50.235,1754-03-24 05:33:31.570,13,384
1755,1755-03-21 00:22:23.490,1755-04-11 15:59:17.794,1755-04-12 06:10:25.317,12,354
1756,1756-03-20 06:18:02.036,1756-03-30 14:00:12.697,1756-03-31 05:24:00.521,13,384
1757,1757-03-20 12:00:37.674,1757-04-18 09:13:10.896,1757-04-19 06:02:10.407,12,354
1758,1758-03-20 17:51:33.897,1758-04-07 21:22:58.758,1758-04-08 06:14:50.928,12,355
1759,1759-03-20 23:46:40.950,1759-03-28 13:46:54.922,1759-03-29 05:27:30.818,13,384
1760,1760-03-20 05:25:17.579,1760-04-15 17:46:49.572,1760-04-16 06:05:08.988,12,355
1761,1761-03-20 11:19:29.620,1761-04-05 09:50:51.157,1761-04-06 06:16:59.020,12,354
1762,1762-03-20 17:15:34.657,1762-03-25 17:14:54.375,1762-03-26 05:31:03.435,13,384
1763,1763-03-20 23:00:28.268,1763-04-13 14:51:16.002,1763-04-14 06:08:13.918,12,354
1764,1764-03-20 04:50:51.394,1764-04-01 11:19:40.239,1764-04-02 05:21:36.702,12,354
1765,1765-03-20 10:30:44.280,1765-03-21 12:51:32.005,1765-03-22 05:35:55.095,13,384
1766,1766-03-20 16:17:25.530,1766-04-09 13:29:55.834,1766-04-10 06:12:34.608,12,354
1767,1767-03-20 22:11:42.227,1767-03-30 03:11:47.750,1767-03-30 05:26:20.686,13,384
1768,1768-03-20 03:48:01.594,1768-04-17 05:55:55.557,1768-04-17 06:04:08.949,12,355
1769,1769-03-20 09:37:19.267,1769-04-07 00:13:46.530,1769-04-07 06:15:52.338,12,355
1770,1770-03-20 15:30:36.880,1770-03-27 13:21:46.873,1770-03-28 05:28:36.094,13,384
1771,1771-03-20 21:15:41.724,1771-04-15 09:09:00.445,1771-04-16 06:06:05.301,12,354
1772,1772-03-20 03:10:48.777,1772-04-03 10:13:19.302,1772-04-04 06:19:14.516,12,354
1773,1773-03-20 09:01:35.413,1773-03-23 06:18:40.186,1773-03-24 05:33:26.405,13,383
1774,1774-03-20 14:56:52.011,1774-04-10 22:29:06.000,1774-04-11 06:11:30.025,12,355
1775,1775-03-20 20:56:08.760,1775-03-31 05:41:10.129,1775-04-01 05:23:55.491,12,354
1776,1776-03-20 02:36:55.113,1776-03-19 21:00:01.425,1776-03-20 05:38:18.949,13,384
1777,1777-03-20 08:26:07.660,1777-04-07 23:10:10.204,1777-04-08 06:14:46.146,12,355
1778,1778-03-20 14:21:20.936,1778-03-28 15:25:00.374,1778-03-29 05:27:25.724,13,384
1779,1779-03-20 20:05:47.081,1779-04-16 17:47:57.770,1779-04-17 06:05:04.611,12,354
1780,1780-03-20 01:54:16.241,1780-04-05 00:39:49.822,1780-04-05 06:18:06.914,12,354
1781,1781-03-20 07:37:30.429,1781-03-24 23:31:29.705,1781-03-25 05:32:15.232,13,384
1782,1782-03-20 13:22:11.841,1782-04-12 19:12:04.095,1782-04-13 06:09:17.343,12,354
1783,1783-03-20 19:12:53.731,1783-04-01 20:24:06.714,1783-04-02 06:22:46.299,12,355
1784,1784-03-20 00:53:49.251,1784-03-21 08:03:25.676,1784-03-22 05:35:49.914,13,384
1785,1785-03-20 06:43:06.178,1785-04-09 12:08:37.388,1785-04-10 06:12:29.907,12,355
1786,1786-03-20 12:41:51.859,1786-03-30 05:53:16.415,1786-03-31 05:24:59.962,13,384
1787,1787-03-20 18:28:29.155,1787-04-18 08:00:52.440,1787-04-19 06:03:00.440,12,354
1788,1788-03-20 00:16:43.155,1788-04-06 22:01:22.861,1788-04-07 06:15:47.522,12,354
1789,1789-03-20 06:05:02.444,1789-03-27 02:15:43.069,1789-03-27 05:29:47.479,13,384
