Year,OutsetYear,OutsetMoon,OutsetDay,Moons,Days
1643,1643-03-20 12:57:47.034,1643-04-18 02:40:37.911,1643-04-18 06:28:57.499,12,355
1644,1644-03-19 18:52:08.554,1644-04-06 19:08:32.199,1644-04-07 06:43:16.256,12,355
1645,1645-03-20 00:40:51.818,1645-03-27 11:23:33.210,1645-03-28 05:58:49.640,13,384
1646,1646-03-20 06:29:24.080,1646-04-15 11:58:52.617,1646-04-16 06:31:19.650,12,354
1647,1647-03-20 12:22:53.231,1647-04-04 20:13:16.823,1647-04-05 05:47:23.071,12,354
1648,1648-03-19 18:10:01.697,1648-03-23 20:16:27.548,1648-03-24 06:04:45.608,13,384
1649,1649-03-19 23:54:01.006,1649-04-11 14:13:36.379,1649-04-12 06:36:31.490,12,354
1650,1650-03-20 05:43:38.427,1650-03-31 13:33:06.035,1650-04-01 05:53:06.331,12,354
1651,1651-03-20 11:31:34.871,1651-03-20 23:22:36.470,1651-03-21 06:10:45.400,13,384
1652,1652-03-19 17:14:35.563,1652-04-08 03:42:23.912,1652-04-08 06:41:55.469,12,355
1653,1653-03-19 22:58:29.157,1653-03-28 21:33:49.757,1653-03-29 05:57:23.485,13,384
1654,1654-03-20 04:47:13.538,1654-04-17 02:17:01.511,1654-04-17 06:30:05.513,12,355
1655,1655-03-20 10:40:48.274,1655-04-06 18:22:07.237,1655-04-07 06:44:31.729,12,354
1656,1656-03-19 16:30:44.250,1656-03-26 01:18:19.202,1656-03-26 06:01:43.884,13,384
1657,1657-03-19 22:14:34.591,1657-04-13 18:50:15.931,1657-04-14 06:33:51.194,12,354
1658,1658-03-20 04:05:38.200,1658-04-02 15:17:52.717,1658-04-03 05:50:10.649,12,354
1659,1659-03-20 09:58:24.093,1659-03-22 17:12:17.955,1659-03-23 06:07:41.951,13,384
1660,1660-03-19 15:46:03.044,1660-04-09 13:35:22.247,1660-04-10 06:39:09.192,12,354
1661,1661-03-19 21:34:05.830,1661-03-30 02:56:20.297,1661-03-30 05:55:57.687,12,355
1662,1662-03-20 03:24:52.662,1662-03-19 20:18:09.164,1662-03-20 06:12:07.248,13,384
1663,1663-03-20 09:15:49.646,1663-04-07 20:36:05.850,1663-04-08 06:43:10.379,12,355
1664,1664-03-19 15:05:00.168,1664-03-27 08:04:46.406,1664-03-28 05:58:43.383,13,383
1665,1665-03-19 20:51:53.607,1665-04-15 04:49:13.783,1665-04-15 06:32:35.436,12,354
1666,1666-03-20 02:46:00.353,1666-04-04 04:25:57.023,1666-04-04 06:48:47.062,12,354
1667,1667-03-20 08:43:53.269,1667-03-24 01:01:57.731,1667-03-24 06:06:14.161,13,384
1668,1668-03-19 14:30:49.748,1668-04-10 22:04:37.656,1668-04-11 06:37:50.419,12,355
1669,1669-03-19 20:14:49.219,1669-03-31 07:25:16.019,1669-04-01 05:53:00.186,12,354
1670,1670-03-20 02:02:44.943,1670-03-21 00:42:41.042,1670-03-21 06:10:39.007,13,384
1671,1671-03-20 07:48:48.483,1671-04-09 06:40:26.365,1671-04-09 06:41:49.636,12,355
1672,1672-03-19 13:34:42.615,1672-03-28 23:49:26.918,1672-03-29 05:57:17.252,13,384
1673,1673-03-19 19:18:41.420,1673-04-17 01:47:06.839,1673-04-17 06:30:00.170,12,355
1674,1674-03-20 01:04:17.581,1674-04-06 09:25:01.810,1674-04-07 06:44:25.812,12,354
1675,1675-03-20 06:57:19.525,1675-03-26 07:10:44.536,1675-03-27 06:01:37.581,13,383
1676,1676-03-19 12:40:46.182,1676-04-12 23:02:14.367,1676-04-13 06:35:08.572,12,354
1677,1677-03-19 18:26:59.521,1677-04-02 00:44:50.793,1677-04-02 05:51:35.650,12,355
1678,1678-03-20 00:24:52.996,1678-03-22 12:09:54.423,1678-03-23 06:07:35.581,13,384
1679,1679-03-20 06:18:19.437,1679-04-10 12:02:48.750,1679-04-11 06:39:03.459,12,354
1680,1680-03-19 12:11:28.284,1680-03-30 04:34:46.236,1680-03-30 05:55:51.482,12,355
1681,1681-03-19 18:00:57.630,1681-03-19 19:36:35.034,1681-03-20 06:12:00.847,13,384
1682,1682-03-19 23:49:19.250,1682-04-07 16:53:25.734,1682-04-08 06:43:04.505,12,354
1683,1683-03-20 05:46:45.341,1683-03-27 19:03:55.618,1683-03-28 06:00:10.804,13,384
1684,1684-03-19 11:32:26.587,1684-04-14 11:36:46.491,1684-04-15 06:32:29.974,12,354
1685,1685-03-19 17:15:30.562,1685-04-03 09:25:06.184,1685-04-04 06:48:41.022,12,354
1686,1686-03-19 23:08:15.284,1686-03-23 14:23:59.802,1686-03-24 06:06:07.804,13,384
1687,1687-03-20 04:51:43.713,1687-04-11 16:27:25.968,1687-04-12 06:37:44.736,12,355
1688,1688-03-19 10:37:16.356,1688-03-31 08:59:50.631,1688-04-01 05:52:54.042,12,354
1689,1689-03-19 16:24:51.228,1689-03-21 03:58:37.770,1689-03-21 06:10:32.614,13,385
1690,1690-03-19 22:13:11.161,1690-04-09 08:40:35.769,1690-04-10 06:40:17.082,12,354
1691,1691-03-20 04:11:11.234,1691-03-29 19:14:14.186,1691-03-30 05:57:11.022,13,384
1692,1692-03-19 09:57:13.085,1692-04-16 16:12:33.442,1692-04-17 06:29:54.832,12,354
1693,1693-03-19 15:37:30.176,1693-04-05 14:57:40.598,1693-04-06 06:45:48.611,12,354
1694,1694-03-19 21:31:23.749,1694-03-25 13:13:33.353,1694-03-26 06:03:05.605,13,384
1695,1695-03-20 03:17:42.299,1695-04-13 09:04:12.287,1695-04-14 06:35:02.998,12,354
1696,1696-03-19 09:04:38.344,1696-04-01 21:11:46.270,1696-04-02 06:51:29.539,12,355
1697,1697-03-19 14:55:49.065,1697-03-22 13:13:12.623,1697-03-23 06:07:29.211,13,384
1698,1698-03-19 20:41:59.669,1698-04-10 13:44:46.795,1698-04-11 06:38:57.728,12,354
1699,1699-03-20 02:38:15.719,1699-03-31 03:36:41.066,1699-03-31 05:55:45.279,12,355
1700,1700-03-20 08:26:56.771,1700-03-20 10:52:32.627,1700-03-21 06:11:54.447,13,383
1701,1701-03-20 14:10:59.408,1701-04-08 03:21:10.667,1701-04-08 06:44:26.712,12,354
1702,1702-03-20 20:12:49.971,1702-03-27 23:16:03.356,1702-03-28 06:01:38.541,13,384
1703,1703-03-21 02:04:46.156,1703-04-15 16:51:34.930,1703-04-16 06:33:46.515,12,354
1704,1704-03-20 07:50:39.859,1704-04-03 22:20:51.199,1704-04-04 05:50:05.497,12,355
1705,1705-03-20 13:42:18.922,1705-03-24 13:14:09.369,1705-03-25 06:06:01.449,13,384
1706,1706-03-20 19:24:59.585,1706-04-12 18:13:55.296,1706-04-13 06:37:39.056,12,355
1707,1707-03-21 01:18:41.220,1707-04-02 12:09:45.790,1707-04-03 06:52:47.901,12,354
1708,1708-03-20 07:05:11.078,1708-03-22 02:47:58.880,1708-03-22 06:10:26.222,13,384
1709,1709-03-20 12:41:26.284,1709-04-10 03:31:30.275,1709-04-10 06:41:37.981,12,354
1710,1710-03-20 18:35:13.171,1710-03-30 04:02:42.316,1710-03-30 05:58:38.079,13,384
1711,1711-03-21 00:19:14.798,1711-04-17 21:26:42.280,1711-04-18 06:31:09.671,12,354
1712,1712-03-20 06:00:21.108,1712-04-05 21:25:08.314,1712-04-06 06:47:11.983,12,354
1713,1713-03-20 11:55:24.758,1713-03-26 05:02:43.917,1713-03-26 06:04:33.892,13,384
1714,1714-03-20 17:44:31.545,1714-04-14 05:01:42.803,1714-04-14 06:36:21.087,12,355
1715,1715-03-20 23:43:19.382,1715-04-03 21:25:38.586,1715-04-04 05:51:23.431,12,355
1716,1716-03-20 05:36:02.807,1716-03-23 14:14:08.475,1716-03-24 06:07:22.842,13,384
1717,1717-03-20 11:15:34.218,1717-04-11 12:30:22.651,1717-04-12 06:38:52.002,12,354
1718,1718-03-20 17:14:13.200,1718-03-31 18:21:28.231,1718-04-01 05:55:39.077,12,354
1719,1719-03-20 23:04:25.286,1719-03-20 16:43:37.672,1719-03-21 06:13:23.749,13,384
1720,1720-03-20 04:47:34.486,1720-04-07 07:31:11.582,1720-04-08 06:44:20.798,12,354
1721,1721-03-20 10:41:55.517,1721-03-27 08:38:24.086,1721-03-28 06:01:32.240,13,384
1722,1722-03-20 16:27:13.649,1722-04-15 07:20:37.449,1722-04-16 06:33:41.000,12,354
1723,1723-03-20 22:18:01.206,1723-04-04 22:32:03.725,1723-04-05 06:49:59.423,12,355
1724,1724-03-20 04:08:58.547,1724-03-24 16:09:18.114,1724-03-25 06:05:55.094,13,384
1725,1725-03-20 09:48:17.867,1725-04-12 21:14:45.676,1725-04-13 06:37:33.379,12,355
1726,1726-03-20 15:46:59.985,1726-04-02 10:33:04.941,1726-04-03 05:52:41.763,12,354
1727,1727-03-20 21:38:27.682,1727-03-22 15:44:02.234,1727-03-23 06:10:19.831,13,384
1728,1728-03-20 03:16:15.801,1728-04-09 11:48:02.221,1728-04-10 06:41:32.158,12,354
1729,1729-03-20 09:07:45.081,1729-03-29 08:31:09.759,1729-03-30 05:58:31.825,13,383
1730,1730-03-20 14:52:09.972,1730-04-17 04:21:50.012,1730-04-17 06:32:25.348,12,355
1731,1731-03-20 20:41:13.465,1731-04-06 13:49:11.013,1731-04-07 06:47:05.986,12,354
1732,1732-03-20 02:33:40.487,1732-03-26 05:01:16.429,1732-03-26 06:04:27.553,13,384
1733,1733-03-20 08:11:27.466,1733-04-14 06:26:44.354,1733-04-14 06:36:15.463,12,355
1734,1734-03-20 14:06:21.580,1734-04-03 22:17:22.693,1734-04-04 06:51:17.325,12,355
1735,1735-03-20 19:59:07.777,1735-03-24 09:08:47.347,1735-03-25 06:07:16.474,13,383
1736,1736-03-20 01:39:10.588,1736-04-11 02:44:07.030,1736-04-11 06:40:12.186,12,354
1737,1737-03-20 07:39:34.843,1737-03-30 23:53:42.534,1737-03-31 05:57:05.742,13,384
1738,1738-03-20 13:33:56.823,1738-04-18 14:47:16.861,1738-04-19 06:29:50.311,12,354
1739,1739-03-20 19:27:47.993,1739-04-07 17:24:48.391,1739-04-08 06:45:43.561,12,354
1740,1740-03-20 01:23:24.697,1740-03-27 04:08:58.644,1740-03-27 06:03:00.246,13,385
1741,1741-03-20 07:01:43.075,1741-04-15 06:51:20.774,1741-04-16 06:33:35.489,12,354
1742,1742-03-20 12:55:12.242,1742-04-05 01:28:21.559,1742-04-05 06:49:53.352,12,355
1743,1743-03-20 18:47:14.620,1743-03-25 16:50:56.952,1743-03-26 06:05:48.740,13,384
1744,1744-03-20 00:22:22.374,1744-04-12 19:08:55.050,1744-04-13 06:37:27.707,12,354
1745,1745-03-20 06:13:10.727,1745-04-01 22:52:58.876,1745-04-02 05:54:07.580,12,354
1746,1746-03-20 11:58:25.190,1746-03-21 20:18:53.680,1746-03-22 06:11:49.022,13,384
1747,1747-03-20 17:41:48.468,1747-04-09 16:27:16.999,1747-04-10 06:42:53.659,12,354
1748,1748-03-19 23:34:04.917,1748-03-28 20:57:09.717,1748-03-29 05:59:59.202,13,384
1749,1749-03-20 05:15:27.993,1749-04-16 21:21:47.730,1749-04-17 06:32:19.894,12,355
1750,1750-03-20 11:12:00.615,1750-04-06 14:05:33.646,1750-04-07 06:46:59.992,12,355
1751,1751-03-20 17:08:50.719,1751-03-27 07:12:02.729,1751-03-28 06:02:46.647,13,384
1752,1752-03-19 22:47:40.943,1752-04-14 07:09:14.775,1752-04-15 06:34:46.299,12,354
1753,1753-03-20 04:40:56.830,1753-04-03 17:44:52.138,1753-04-04 06:51:11.221,12,354
1754,1754-03-20 10:34:23.832,1754-03-23 18:05:50.235,1754-03-24 06:08:45.363,13,384
1755,1755-03-20 16:22:23.490,1755-04-11 07:59:17.794,1755-04-12 06:40:06.414,12,354
1756,1756-03-19 22:18:02.036,1756-03-30 06:00:12.697,1756-03-31 05:56:59.515,12,354
1757,1757-03-20 04:00:37.674,1757-03-19 13:37:56.842,1757-03-20 06:14:46.715,13,384
1758,1758-03-20 09:51:33.897,1758-04-07 13:22:58.758,1758-04-08 06:45:37.607,12,354
1759,1759-03-20 15:46:40.950,1759-03-28 05:46:54.922,1759-03-28 06:02:53.927,13,385
1760,1760-03-19 21:25:17.579,1760-04-15 09:46:49.572,1760-04-16 06:33:29.983,12,354
1761,1761-03-20 03:19:29.620,1761-04-05 00:50:51.157,1761-04-05 06:49:47.283,12,355
1762,1762-03-20 09:15:34.657,1762-03-25 09:14:54.375,1762-03-26 06:05:42.388,13,384
1763,1763-03-20 15:00:28.268,1763-04-13 06:51:16.002,1763-04-14 06:37:22.038,12,353
